L,M,P,kUn,kLn,kU,kL,RF,KF,Trip,TripL,Align,Sim,Node,nPH85,MAST,pathdist,pathdistw,BHV,KC,KCw
0.0060951017,0.0412685878,0.6553039371,0.766368725,0.0399921186,0.0977657752,0.0199201754,27.38,974.0979346177,0.6716764706,566.6890260938,6.5628079698,0.6598347196,1.2746246271,0.9793333333,10.79,34.77684095,5975.0835275278,1226.0429973053,25.7409640263,2955.6474149396
0.0063656048,6.82476823549E-05,0.8302244753,0.8514601446,0.7383044363,0.6092405271,0.808664739,6.26,399.4643015775,0.1108382353,100.8166908517,3.6675164003,0.1466742623,0.8043842341,0.226,2.72,11.1052382961,1958.475135034,613.3689527065,8.4001215644,1027.7422397392
0.0064406663,2.75721200933E-05,0.5097191342,0.7832151419,0.486901479,0.2726912834,0.5099628406,12.8,665.081357979,0.2014558824,196.5594918737,5.3483475691,0.2501567154,1.1019358362,0.4606666667,5.3,17.6862999157,3937.6781823126,838.9624688438,13.1023424278,1737.740603215
0.0067099092,5.89780534588E-07,0.9249310214,0.9214056632,0.8849772032,0.8283080375,0.9277600485,2.22,200.3195399801,0.0334117647,33.3595986701,1.5028108281,0.0596442989,0.3590902158,0.078,0.98,5.0798623328,1008.7013235739,464.9879123632,3.4316472523,546.7725295117
0.006873678,7.05009206916E-05,0.7705438461,0.8261876885,0.6946912213,0.5422603413,0.7689708293,6.96,437.9602334091,0.1202058824,106.5574336634,3.9140580531,0.1493186779,0.8606287927,0.2506666667,3.12,12.3355812958,2135.8381004712,632.4122269312,9.1492086765,1182.6551269716
0.0070189691,0.1290956086,0.9904298329,0.7730203797,0.0271183314,0.1015175179,0.0071463095,27.58,871.4262759165,0.6692205882,522.9458411258,6.6545059663,0.6867099397,1.2809138551,0.986,10.67,34.8917295967,5263.7789268067,1131.8759610869,25.7977692111,2596.5025464754
0.0073403628,0.0094740907,0.8980285326,0.8016489026,0.1982081249,0.1956588626,0.1782650706,25.14,813.8594001433,0.5876911765,467.3651690356,6.72747114,0.5648837124,1.315656174,0.9046666667,9.42,32.5658618353,4808.3782112343,1079.1238298825,23.5429367722,2410.1213014222
0.0074338053,0.0002287993,0.9586468375,0.9119368743,0.8368251564,0.7744877751,0.8801458221,5,300.5219092383,0.09075,78.0575335446,2.9655432623,0.1255036371,0.6514088028,0.1833333333,1.65,8.770053642,1407.7216805323,558.6212107029,6.7454256658,730.2323626122
0.0077977377,4.16152034577E-06,0.7977058583,0.8343855004,0.7103147858,0.5677987025,0.7902900752,6.26,411.6926257719,0.0801617647,70.9956686954,3.1239989733,0.1304989302,0.7225533709,0.2226666667,2.44,11.0184119383,2023.2805949362,586.0418347542,7.5511751301,1169.1850220592
0.0079569814,3.16138503224E-05,0.4219190635,0.796438012,0.4462345541,0.2167877701,0.4077339018,12.58,575.7983922516,0.1562941176,140.9065338992,5.0936147464,0.2138093186,1.0686700189,0.4433333333,5.2,17.4340470497,2914.8520685491,742.4119872544,11.7486539024,1362.3624069764
0.0081848904,4.45838599821E-05,0.8168839219,0.8432259832,0.7200164531,0.5807643062,0.7863828976,5.96,333.6999375865,0.0871029412,79.002346152,3.2149689477,0.11410778,0.7174608338,0.2093333333,2.42,10.5132297137,1703.4855355801,547.5855504716,7.2072149545,823.9946909371
0.0084562645,3.76545109634E-07,0.2990436432,0.7978365477,0.3846402098,0.1404845706,0.3034780584,14.64,572.4150440571,0.1757352941,156.6277176909,5.5820764236,0.1991713208,1.1309493607,0.512,5.72,19.0387237874,3223.5147787139,751.7482040851,12.6693639049,1435.1675759361
0.0088045928,0.0011495,0.5160501591,0.8086866777,0.3938808496,0.2088449328,0.3702408485,18.22,675.6382223,0.3294558824,274.1262380304,6.0041053669,0.3768558526,1.211038072,0.6546666667,6.63,23.3312657377,3325.3226136304,924.649590028,16.6367968257,1585.1312675084
0.0090158441,5.15322235184E-05,0.5551948051,0.8038623255,0.5177108871,0.2972823973,0.5466208716,11.9,528.8267747681,0.1535147059,136.8619108657,4.9315553336,0.199548169,1.0231054878,0.4166666667,4.65,16.8271055415,2786.0911601353,713.097976434,11.5577119845,1295.8546090476
0.0092876255,7.67969413058E-05,0.162054918,0.7977290132,0.3310244637,0.0685358668,0.1377335208,16.12,578.4529584354,0.1735294118,150.1674706392,5.5608549229,0.2109356403,1.1196380841,0.5626666667,6.05,19.5780774709,3013.3327870331,754.6836523862,12.3991899955,1328.2817633091
0.0096346451,0.0051593588,0.6585580532,0.7991580952,0.2813306089,0.1810493531,0.2691723505,23.36,773.5894687067,0.5342647059,416.86374312,6.6182522755,0.5439899078,1.3122095865,0.844,8.5,29.7430471644,4259.8233699206,1045.2682627632,22.4188629454,2157.2596730686
0.0098115103,0.0032431106,0.334614506,0.8051694841,0.2085239591,0.0927694152,0.1495508932,24.22,804.6566960208,0.5141323529,429.3065040714,6.5419491342,0.5135357794,1.2917812388,0.872,8.89,29.4194945709,4583.8772342942,1081.1494504764,21.8200002959,2210.1485496225
0.0100115871,0.0092942377,0.1467120255,0.7891569806,0.1022309411,0.0466364366,0.0518614685,26.48,830.6256179983,0.6164705882,494.3130746117,6.5258400488,0.5799774118,1.2838544599,0.9493333333,9.98,33.4113195295,4942.9943497434,1101.0150153991,24.089732424,2397.5428592501
0.0103912692,1.48724096089E-05,0.3760090916,0.8069051739,0.4439833725,0.16905715,0.3504006314,12.92,435.7247391829,0.1124852941,92.8176648446,4.8093449606,0.1480367831,0.9954871473,0.4406666667,4.92,17.1147136738,2199.9219156534,610.2446803329,10.0759360078,971.3118495308
0.010722435,0.204984629,0.6579394982,0.7664752442,0.0245345702,0.0719279606,0.0015699348,27.44,818.8220789165,0.6582794118,478.5110465806,6.7943543401,0.6861942384,1.3243182191,0.9813333333,10.7,35.0862675773,4724.1545392042,1069.342468378,25.5331882195,2423.6773005902
0.0110447941,0.000012448,0.1515387878,0.8120396345,0.3681275375,0.0631911432,0.1409479002,14.46,491.7462459295,0.1380735294,117.5099808906,5.1120698468,0.1558470533,1.0505829039,0.498,5.56,18.4977287882,2577.4853009328,649.022909049,11.3582199303,1110.8836512284
0.0113208781,4.78690246055E-06,0.836547408,0.8659029648,0.7564162532,0.6241840537,0.8089540145,4.74,241.2947316443,0.0499558824,41.451108424,2.4864020979,0.0688148027,0.6001913545,0.1633333333,1.97,9.3499786367,1043.4494994966,467.7832354432,5.8649136745,560.5657260105
0.0118666432,0.0002415108,0.2005098588,0.8086146474,0.349318347,0.0876699187,0.1710727817,16.24,515.2796384187,0.1725882353,139.7626704984,5.4981375569,0.2053820846,1.1065603528,0.5686666667,5.76,19.7365167457,2430.5392783556,709.3073653402,12.2989318359,1116.7124005132
0.0121869818,0.0080599114,0.5579747568,0.795944345,0.1891912794,0.1134064463,0.1470034814,25.36,766.7199798064,0.5892794118,445.632217402,6.6577573815,0.5696508531,1.2932739106,0.912,9.5,32.0273385708,4381.6181796805,1037.8606437219,23.2710744862,2232.3737436161
0.0123889449,1.94771292897E-06,0.8788616054,0.8929172164,0.8290110175,0.7133623785,0.8790674938,2.86,178.9826265968,0.02125,18.3184460496,1.7016864802,0.0406179764,0.4141066023,0.098,1.12,6.3571048892,737.3960103304,429.6124719876,3.4148024596,457.6927063427
0.0129642431,0.0005011384,0.7047618371,0.8329895969,0.6455698625,0.4321317068,0.636781343,9.62,417.1648251319,0.1364117647,112.0812521676,4.4269514652,0.1713318687,0.9424032327,0.342,3.54,14.8067976235,1875.476473879,624.3600114699,9.9324418953,966.7883674856
0.0133307586,0.0049472215,0.8494172708,0.8176631085,0.3623243358,0.2504517759,0.3476482126,21.84,709.985928825,0.5131617647,388.4057058345,6.6994439727,0.5106119219,1.3106434965,0.79,8.07,28.5761091599,3972.4351147632,972.7509237982,21.5884003451,2005.7207148852
